link,titulo,autor,pubdate,descrip,imagen,video
http://www.blackseagrain.net/novosti/phl-eyes-end-2018-ok-of-rice-tariff-law,PHL eyes end-2018 OK of rice tariff law,,,"AMID pressure from trade partners, Manila informed the World Trade Organization (WTO) that it is “hopeful” of passing the legislation that would convert its quantitative restriction (QR) on rice into tariffs before the year ends.



A trade official privy to the matter told the BusinessMirror the Philippines informed members of the WTO at last week’s Committee on Agriculture (COA) meeting that it is facing “unavoidable” delays in passing its rice-tariffication law.



The delay, according to the trade official, who was not authorized to speak for the Philippines, was caused by “other pressing priority legislation initiatives of the President” and “limited resources in Legislative and Executive branches of the government.”



“It reassured WTO members it will continue to work on it within its resource limit and hopefully update the information within the year,” said the trade official, who is based in Geneva where the WTO is also headquartered. “The Philippines said hopefully the tariffication legislation can be adopted within this year.”



The source said Canberra sought for an update on Manila’s efforts in converting its rice QR into tariffs during the COA meeting on June 11 and 12. The Australian representative to the COA meeting said Manila’s rice tariffication “is an issue being raised for quite some time.”



The delegation of the European Union (EU) echoed the concerns of Canberra and asked the Philippines to hasten its rice tariffication process and abide with its commitment “finally and for good.”



“The EU said it hopes it can be done as soon as possible because it is very important,” the trade official said.



In a February COA meeting, the Philippines vowed to present its rice tariff law by June; however, the contrasting Legislative priorities of both chambers of Congress delayed its passage.



The National Economic and Development Authority (Neda) earlier told the BusinessMirror it is targeting to pass the country’s rice-tariffication law and present it to WTO member-countries by October.



“By October, if we still cannot report any substantial progress on the action we have taken, then it will be difficult for us. Our trading partners might ask for further concessions. Worse, we might be sanctioned, but that’s the worst-case scenario,” Neda Undersecretary Rosemarie G. Edillon said in an interview last month.



The substitute bill that would amend Republic Act (RA) 8178, or the Agricultural Tariffication Act, which imposed the QR on rice, has already passed concerned House of Representatives Committee levels and is now awaiting plenary deliberations.



The House of Representatives earlier eyed to pass the bill in March but faced delays due to other Legislative priorities of the lower chamber.



At the Senate, the Committee on Agriculture and Food is yet to issue its consolidated draft bill amending RA 8178 and converting the rice QR into tariffs.



Sen. Cynthia A. Villar, chairman of the Committee on Agriculture and Food, said she is taking her time in crafting a “better” rice-tariffication law to ensure that farmers would not be at a disadvantage by the influx of cheap foreign rice.



“We know what our problems are. We have thught about it and we are thinking [about] how to pass a better law,” Villar told reporters in an interview at PICC on May 31.



“Give us time. Because we are thinking of the solutions to the problems that [lifting of rice QR] will cause. We are studying it very hard,” Villar added.



Villar is eyeing an end-2018 passage of the bill in the Senate. She earlier vowed to pass it by March as it was a Legislative priority of the Duterte administration.



Edillon noted how “crucial” it is for substantial progress to be made by the Philippines on amending RA 8178. Trading partners, such as Australia, Thailand and the United States, have recently raised questions regarding the country’s efforts to scrap the rice QR.



These countries may ask for more concessions if the Philippines fails to make substantial progress on converting the rice QR into tariff. Australia and the US may seek expanded market access for their livestock products, while Thailand may request for a higher minimum access volume for its rice.



Last month Agriculture Undersecretary Segfredo R. Serrano called on the Senate and the House of Representatives to prioritize the passage of the rice-tariffication bill so that the Philippines could immediately comply with its commitment to the WTO.



“What we are saying is that the rice-tariffication [bill] should be passed as soon as possible. Let’s not mingle it with other issues, such as the reorganization of the NFA [National Food Authority],” Serrano told reporters in an interview at the House of Representatives in Quezon City on May 21.



“Everyone has agreed that we must tariffy, but that doesn’t mean we have to dissolve the NFA. That’s a different issue,” he added.



businessmirror",http://www.blackseagrain.net/foto/grain-cereals/koloski/image_large,
http://www.blackseagrain.net/novosti/rice-imported-from-vietnam-arrives-in-albay-gensan,"Rice imported from Vietnam arrives in Albay, GenSan",,,"Over 100,000 sacks of rice have arrived in the Philippines from Vietnam, as part of the imported buffer stock ordered by the National Food Authority (NFA).



According to a report on GMA's ""24 Oras Weekend"" on Sunday, some 100,000 sacks from Vietnam arrived in the port of Tabaco in Albay. The shipments will be discharged on Monday, and will be distributed to the Bicol region.



Another batch arrived in the port of General Santos, which has been temporarily stored in an NFA warehouse in the area. The supply will be distributed to commercial areas in Sarangani and in General Santos.



The Philippines last month ordered an additional supply of 250,000 metric tons (MT) of rice to increase the stock in the country: 130,000 MT from Vietnam, and the remaining balance of 120,000 MT from Thailand.



The NFA earlier said the additional imports would arrive in the Philippines by the end of May, and would effectively stabilize rice prices by June.



The state grains agency last week, however, said the delivery was stalled due to enhanced rains brought about by Typhoon Domeng.



gmanetwork",http://www.blackseagrain.net/foto/grain-cereals/rice.png/image_large,
http://www.blackseagrain.net/novosti/investors-cut-net-long-position-in-us-corn-futures-by-13-2-cftc,Investors cut net long position in US corn futures by 13.2%: CFTC,,,"Non-commercial grain market participants decreased their net long position in US corn futures to 286,650 contracts in the week that ended Tuesday, down 13.2% from a week earlier, the US Commodity Futures Trading Commission said Friday.



After import tariffs by the US on Chinese goods, the market is expecting retaliation from China aimed at US agricultural products, which is driving funds to get short, sources said.



""This is not driven by fundamentals but by fear,"" a market participant added.



Long positions rose to 655,972 contracts from 627,461, while short positions rose to 369,322 contracts from 297,422, the CFTC said in its weekly Commitments of Traders legacy report, issued after the market closed.



CBOT July corn futures dropped 6.25 cents to $3.7750/bushel in the reporting week that ended Tuesday.



CBOT July corn futures settled 1.75 cents lower at $3.6125/bu Friday.



Non-commercial market participants are large institutional investors, hedge funds and other entities trading in the futures market for investment. They are typically not involved directly in the production, distribution or management of the underlying commodity.



Corn is the main source of US-produced ethanol.



platts",http://www.blackseagrain.net/foto/grain-cereals/corn.jpg/image_large,
http://www.blackseagrain.net/novosti/egypt-uruguay-who-leads-in-milk-production,Egypt-Uruguay: who leads in milk production?,,,"On the second day of the world Cup, held in Russia, will host three matches, the first of which will be the match between the teams of Egypt and Uruguay.



Today the consumption of milk in Egypt, 97.8 kg per capita per year. It is small in comparison with the Uruguay, where the figure rises to 318 kg, however, in Egypt, in 2010, the consumption of milk and dairy products in the country accounted for only 22 liters. In the 60-ies of the last century, this figure does not exceed 2-3 litres in a year. Despite this, Egyptian APK supports not only the development of dairy cattle, but also the production of camel milk, sheep milk and goats.



Uruguay with a population of only 3 million people made in 2017 in the order of 2.15 million tons of milk. in Egypt, where the population exceeds 92 million people, the production of milk amounted last year to 7.2 million tonnes.



Milk production per capita in Egypt is 76 kg, in Uruguay this figure is 624 kg per year. Uruguay is one of the key exporters of dairy products to Russia after Belarus, New Zealand and Argentina. Covering the needs of the domestic market, supply of dairy products of Uruguay has undertaken in more than 50 countries.



According to the Center for the study of the dairy market (LMR), the number of cows in Egypt to 2017 4.5 million head. The average milk yield per cow does not exceed 1590 kg. In Uruguay, the figure - 4760 kg with the number of dairy cows in 452 thousand heads.



From open sources it is also known that the consumption of liquid milk per capita in Uruguay is 63.5 kg, cheese - 8.7 kg, oil - 1.4 kg



agro2b",http://www.blackseagrain.net/foto/livestock/moloko-korova-stakan-lug.jpg/image_large,
http://www.blackseagrain.net/novosti/jordan-has-enough-wheat-for-almost-a-year-2014-official,Jordan has enough wheat for almost a year — official,,,"Jordan’s wheat reserve is sufficient to meet the country’s demands for around a year, a Trade Ministry official said on Thursday, adding that several tenders will be floated soon to boost reserve amidst rising demand.



“We are working on increasing the reserves due to the rise in consumption in light of the presence of a large number of Syrian refugees,” the official told The Jordan Times, noting that, since the onset of the Syrian crisis, Jordan’s monthly wheat consumption has risen from 50,000 to 80,000 tonnes.



On Thursday, Jordan floated a tender to buy 120,000 metric tonnes of wheat, with the deadline for receiving bids running through June 27,according to the official.



“Our reserve is excellent and we have shipments en route to the Kingdom,” the official, who preferred to remain anonymous, said.



Currently, wheat reserves stand at 888,000 metric tonnes, which is enough for 11.1 months.



Wheat consumption also witnessed an increase during Ramadan, due to a higher demand on various types of bread, the official said, stressing: “We have plans for several other tenders during the upcoming period in light of the demand.""

The official said more tenders will be offered soon to buy barley as Eid Al Adha is approaching.



On Thursday, Jordan floated a tender to buy 120,000 tonnes of barley with bids accepted until June 26.



The barley reserve stands at over 562,000 tonnes, which is sufficient for more than nine months, the official said. Jordan consumes around 55,000 tonnes of barley per month.





jordantimes",http://www.blackseagrain.net/foto/grain-cereals/grain.jpg/image_large,
http://www.blackseagrain.net/novosti/what-makes-some-varieties-of-rice-resistant-to-drought,What makes some varieties of rice resistant to drought?,,,"In thirty years, the global population of 7 billion will increase by 30% to a staggering 9.1 billion people. Feeding everyone with the same amount of land that is available today will undoubtedly be a challenge. Along with expanding cities gobbling up agricultural and forest land, changing climatic conditions with frequent spells of droughts also spell doom for food production. Hence, researchers around the world are developing drought-resistant varieties of food grains. In one such attempt, researchers at the Indian Institute of Technology, Delhi, offer critical insights into the intrinsic nature of certain types of rice that can resist drought.



Rice, a water-intensive crop grown by humans for thousands of years, is a staple in many countries and the Asian rice, Oryza sativa, is the most widely cultivated rice of the genus Oryza. The crop fails during a drought, and water scarcity affects more than 23 million hectares of rainfed rice production areas in South and Southeast Asia. While some varieties have the potential for drought adaptations, the researchers of the study are exploring the mechanism behind this through phenomics—the study of interactions of genes with changes in the environment.



“India has 34.5% of total irrigated area, which indicates that the rest of the farming area depends mostly on rain. Even after constructing 91 major reservoirs, only 162 billion cubic meters of water can be stored. Recently in India, eleven states out of twenty-nine were affected by drought, resulting in a 40% yield loss, amounting to $800 million. Therefore, our work aims at exploring the traits that can be used in selecting drought-resistant crop”, says Prof. Archana Chugh, from IIT Delhi and an author of the study published in the journal Plant Physiology and Biochemistry. The study was supported by the National Agricultural Science Fund (NASF) under the Indian Council of Agricultural Research (ICAR).



The researchers of the study investigated three varieties of rice; Sahabhagidhan—a local drought-tolerant variety, and two drought-sensitive varieties: IR64 and MTU-1010. The researchers simulated the drought condition by cutting off water supply to these plants for five consecutive days. They then explored the genetic factors that help these varieties tolerate drought and correlated them with the plant’s response to the applied stress with the aim of developing a reliable 'marker' for drought resistance, which indicates the plant's ability to survive periods of extreme water scarcity.



“A successful marker can be helpful in selection of drought-tolerant varieties at different levels like morphological, anatomical, biochemical, physiological and molecular. They should be easily detectable and stable. Secondary traits such as root attributes, xylem diameter, stomatal aperture, proline, and malondialdehyde can be used as selection criteria by plant breeders for high yield production and drought tolerance in rice”, explains Prof. Chugh in an interview with Research Matters.



But, what exactly happens to a plant during a drought? Lack of adequate water limits its growth and affects its morphology, physiology, and biochemistry. Leaves reduce in size, the stem and roots elongate, there is a reduction in photosynthesis, transpiration and biomass, and an imbalance in nutrients. The roots are the first to experience stress due to drought as they grow beneath the soil. Hence, to survive, they either become more dense, holding the soil together and maintaining the water potential or grow deeper to access more water.



The authors found that Sahabhagidhan, the drought-tolerant variety, continued to grow its roots during the stress, while the drought sensitive varieties showed a reduction in the rate of growth. Also, they observed that in Sahabhagidhan, the xylem vessel, which carries water in plants, had reduced its area and its numbers to survive the stress. This modification maintains water supply by avoiding the formation of air bubbles, known as cavitation.



The study also found a significant correlation between the morphological traits in these roots and the expression of aquaporin genes. Aquaporins are proteins that form pores in cell membranes. They regulate water uptake along with other small molecules. The researchers investigated two aquaporins, OsPIP2;5 and OsNIP2;1, and found that the drought tolerant variety showed an increase in OsPIP2;5, which may be useful to increase the intake of water and thus supply to aerial organs. A decrease of OsNIP2;1 in the same plant indicates another method of drought avoidance—decreasing the membrane permeability to avoid excess water loss.



Correspondingly, the drought sensitive variety showed a significantly lower content of proline—an amino acid used to synthesise proteins, than the drought-resistant variety. The researchers believe this is because the proline proteins assist in maintaining the stiffness of cell membrane during water deficient periods, enabling the cell to carry on functioning. As a result of drought, plants produce malondialdehyde (MDA), a known marker of oxidative damage, a condition wherein due to chemical imbalances, the plant is unable to detoxify itself of damaging elements. Oxidative damage can eventually lead to cell death. A 1.5 fold reduction in MDA content in Sahabhagidhan, as compared to the drought sensitive variety, implies the former’s superior resistance to drought.



“Improvement of drought tolerance in rice is a challenging task due to the high complexity of the traits and poor understanding of plant response against drought. Wide knowledge of various attributes can achieve yield stability under most devastating drought stress. Our study contributes more towards selectively breeding from the thousands of cultivars available,” says Dr. Chugh when probed about the potential for findings of the study. Marker-assisted selection (MAS), discussed in this research, can help feed the millions by intelligently selecting plants with desired traits.





researchmatters",http://www.blackseagrain.net/foto/grain-cereals/ricebrown.png/image_large,
http://www.blackseagrain.net/novosti/pakistan-rice-exports-up-by-30pc-to-1-58b-in-10-months,Pakistan. Rice exports up by 30pc to $1.58b in 10 months,,,"Pakistan has come out of the crisis of low exports, which was observed during the last three years, as the rice exports have increased by around 30 percent to $1.58 billion during the first 10 months of the current fiscal year (2017-18) as exporters pushed fresh cargoes to Indonesia, Kenya and other markets.



Rice Exporters Association of Pakistan chairman Samee Ullah Ch said that value of rice export trade has been showing improvement due to the coordination of REAP members with the Trade Development Authority of Pakistan and customs. “Our members are putting in untiring efforts, and aggressive marketing to increase rice exports and to earn valuable foreign exchange,” he added. He said rice exporters are making investments to install modern rice processing machinery and using value-addition technology.



He said the association is sending trade delegations to various countries for rice marketing. “Last month our delegation came back after a successful visit to Iran, which is very lucrative and a potential market for basmati rice. Around 100,000 tons of rice has so far been exported to Iran during the current season.” He hoped that a handsome amount of foreign exchange would be fetched by Pakistani rice exporters. He said that rice exports amounted to $1.23 billion during the corresponding period last year.



Samee Ullah Ch said exports increased 15 percent to 3.23 million tons during the 10 months of the current fiscal year of 2017/18. He said exports of non-basmati rice to Indonesia increased during the period.



“We exported 50,000 tons of non-basmati rice to Indonesia during the July-April period. Kenya remained the largest buyer of Pakistani non-basmati rice, buying 323,000 tons of rice amounting to $118 million. China is also one of the largest importers of Pakistani non-basmati rice.” He said demand for rice in the international markets is increasing. The crop was good in terms of both quality and quantity this year, he added.





nation",http://www.blackseagrain.net/foto/grain-cereals/rice.png/image_large,
http://energyandmines.com,Energy And Mines,"Farooquewc Gmail.Com,Saul Griffith",,"Almost a dozen new renewable energy projects were announced in 2019. Many others were already under development, and more are Read More",https://energyandmines.com/wp-content/uploads/2019/12/new-logo.png,
http://www.blackseagrain.net/novosti/baltic-dry-index-gained-significantly-last-week,Baltic Dry Index gained significantly last week,,,"Last week, Baltic freight index gained 305 points or 27.98% to 1395 points. An unprecedented growth was triggered by the significant activity in the large-tonnage transportation sector, which strengthened by more than 58% points over the week. Capesize fleet transportation market in the Atlantic strengthened significantly amid an increase in supplies of metallurgical raw materials for shipments from Brazil to China, reports UkrAgroConsult.

Panamax index strengthened by 184 points, which was almost 16% gain. The delivery cost of agricultural commodities by Panamax vessels from Mexican coast to China decreased by USD 1/MT.

A week earlier, Baltic freight index lost 19 points with Capesize Index remained the main bearish. Panamax Index fell by almost 3.5% points. Exports of agricultural commodities from Brazil were delayed due to the drivers’ strike.

Detailed information on freight market developments is available to subscribers for weekly market report ""Black Sea Grain"" and ""Online market review"" by UkrAgroConsult.",http://www.blackseagrain.net/foto/logistics/korabl.jpg/image_large,
http://www.cadenadesuministro.es,Información especializada en el sector del transporte y la logística,"Publicado El,Erik Caldwell",,"La instalación, con una superficie de 51.000 m², cuenta con capacidad para más de 30.000 palets y dispone de un total de 140 muelles para la carga y descarga de camiones que contribuye a la mejora del tránsito de la mercancía.",http://www.cadenadesuministro.es/wp-content/themes/cadena_de_suministro/favicon.png?ver=0.1,
http://www.blackseagrain.net/novosti/india-raised-vegoil-import-duties,India raised vegoil import duties,,,"On June 14, the Indian government raised the rates of current import duties for vegoils as follows:

- refined soybean oil – from 30% to 35%;

- unrefined sunflower and rape oils – from 25% to 35%;

- refined sunflower, rape, soybean oils – from 35% to 45%.

India is the largest end market for Ukrainian sunoil. In MY 2016/17, this country absorbed roughly 2 MMT of Ukrainian sunoil (35% of its total exports), UkrAgroConsult’s analysts note.

India’s share expanded to 47% this season. Ukrainian sunoil exports to India gained 25% in September-May 2017/18 against the same period last season (1.91 MMT and 1.53 MMT, respectively).

The increase in import duties for vegoils may adversely impact both sunoil exports from Ukraine to India and prices for this product.

Ukraine sold some USD 1.5 Ml worth of sunoil this year

According to the State Fiscal Service of Ukraine, January-April 2018 exports of sunflower, safflower, and cotton oils totaled 1994.9 KMT to an amount of USD 1498.7 Ml. Sunflower oil imports were at 549 MT worth USD 534,000, reports UkrAgroConsult.

Soybean oil: exports at 81.3 KMT to an amount of USD 61.1 Ml, imports at 8 MT to an amount of USD 10,000.

Exports of rape and mustard oils totaled 1.6 KMT, worth USD 1.3 Ml. Rape oil imports were at 468 MT to an amount of USD 534,000.

Palm oil: imports at 67.3 KMT to an amount of USD 50.8 Ml, exports at 916 MT to an amount of USD 819,000.

More detailed information on the latest trends in oilseeds/vegoils/meals exports, palm oil imports, supply and demand balances with breakdown by crop as well as crop conditions and progress in planting in the countries of Black Sea Region is available to subscribers for weekly market report ""Black Sea Vegoils"" by UkrAgroConsult.

Further prospects of the Black Sea oilseeds/vegoils market will be discussed at the VI International Conference “Black Sea Oil Trade”, which will take place on September 20, 2018 in Hilton hotel, Kiev, Ukraine.",http://www.blackseagrain.net/foto/vegoil/rastitielnoie%20maslo.png/image_large,
